Termination Id,Termination Reason,Business unit,Tenure Range,Age,Gender,Organization level,day,month,Year,Country,Age Range,Date,Quarter,QuarterYear
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,Canada,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,Germany,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,United States,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,India,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,Malaysia,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,Canada,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,Germany,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,United States,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,Australia,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,Malaysia,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,Canada,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,Germany,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,India,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,Australia,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,Malaysia,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,Canada,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,United States,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,India,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,Australia,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,Malaysia,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,Germany,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,United States,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,India,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,Australia,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,India,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,India,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,India,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,India,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,Germany,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,United States,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,India,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,Australia,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,Australia,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,Malaysia,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,Canada,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,Germany,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,India,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,Australia,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,Malaysia,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,Canada,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,United States,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,India,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,Australia,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,Malaysia,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,Germany,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,United States,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,India,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,Australia,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,Canada,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,Germany,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,United States,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,India,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,Malaysia,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,Canada,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,Germany,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,United States,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,Australia,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,Malaysia,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,Canada,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,Germany,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,India,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,Australia,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,Malaysia,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,Canada,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,United States,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,India,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,Australia,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,Malaysia,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,Germany,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,United States,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,India,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,Australia,20 - 30,16-06-2019,Q2,2019-Q2
16,Retirement,Retail,2,25,Female,Operational,16,4,2021,Canada,20 - 30,16-04-2021,Q2,2021-Q2
17,Retirement,Retail,3,25,Female,Operational,17,5,2018,Germany,20 - 30,17-05-2018,Q2,2018-Q2
18,Retirement,Retail,4,25,Male,Operational,18,6,2019,United States,20 - 30,18-06-2019,Q2,2019-Q2
19,Retirement,Retail,4,25,Male,Operational,19,7,2020,India,20 - 30,19-07-2020,Q3,2020-Q3
75,Retirement,Retail,3,25,Female,Operational,13,3,2020,Malaysia,20 - 30,13-03-2020,Q1,2020-Q1
76,Retirement,Retail,3,25,Female,Operational,14,4,2021,Canada,20 - 30,14-04-2021,Q2,2021-Q2
77,Retirement,Retail,3,25,Female,Operational,15,5,2018,Germany,20 - 30,15-05-2018,Q2,2018-Q2
78,Retirement,Retail,3,25,Female,Operational,16,6,2019,United States,20 - 30,16-06-2019,Q2,2019-Q2
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,Australia,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,Malaysia,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,Canada,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,India,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,Malaysia,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,United States,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,India,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,Australia,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,Germany,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,India,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,Canada,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,Germany,20 - 30,21-09-2018,Q3,2018-Q3
